ProductID,ProductNo,ProductName,Barcode,SKU,Unit,DefaultSize,SellPriceIncTax,SellTaxCode,CostPriceIncTax,CostTaxCode,IsModifier,PrintDocket,Tags,CategoryNames,SellAccount,BuyAccount,InventoryAccount,ImageUrl,ReportingGroup,FriendlyName,ShowOnline,OnlineDescription,InventoryType,PurchaseFormat,PurchaseQty,Container,VariableQtyPrompt
19399164,,"JIM BEAM 700ML",5010278101335,,ml,700,57.99,GST,43.6070,GST,0,1,"ALM,beverages,spirits","Package SPIRITS",1,1,1,,beverages,,1,,1,Cartons,12,BOTTLE,
19399161,,"JIM BEAM Black E/Aged 700Ml",080686003502,,ml,700,67.99,GST,50.8900,GST,0,1,"ALM,beverages,spirits","Package SPIRITS",1,1,1,,beverages,,1,,1,Cartons,12,BOTTLE,
20008624,,"JIM BEAM & Cola 4.8% Zero Can",,,unit,1,12,GST,3.9870,GST,0,1,"ALM,beverages,rtds",RTDs,1,,1,,beverages,,1,,2,Individual,1,CAN,
20008628,,"JIM BEAM White Double Serve C24",9316417007060,,unit,1,140.99,GST,4.4000,GST,0,1,"ALM,beverages,rtds","Package RTDS Ctn",1,,1,,beverages,,1,,2,Individual,1,CAN,
20008626,,"JIM BEAM White Double Serve C30",,,unit,1,156.99,GST,4.3290,GST,0,1,"ALM,beverages,rtds","Package RTDS Ctn",1,,1,,beverages,,1,,2,Individual,1,CAN,
20008627,,"JIM BEAM White Double Serve C1",80686013884,,unit,1,9.5,GST,4.4000,GST,0,1,"ALM,beverages,rtds","Package RTDS Ind",1,1,1,,beverages,,1,,1,Cartons,24,CAN,
20008625,,"JIM BEAM White Double Serve C10",80686013990,,unit,1,69.99,GST,43.2900,GST,0,1,"ALM,beverages,rtds","Package RTDS Ind",1,1,1,,beverages,,1,,1,Cartons,3,CAN,
20008629,,"JIM BEAM White Double Serve C6",,,unit,1,25.99,GST,17.6000,GST,0,1,"ALM,beverages,rtds","Package RTDS Pk",1,,1,,beverages,,1,,2,Individual,1,CAN,
19399179,,"JIM BEAM Devils Cut 700ML",080686005223,,ml,700,65.99,GST,52.1680,GST,0,1,"ALM,beverages,spirits","Package SPIRITS",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399182,,"JIM BEAM Rye 40% 700ML",80686010050,,ml,700,65.99,GST,52.3670,GST,0,1,"ALM,beverages,spirits","Package SPIRITS",1,1,1,,beverages,,1,,1,Cartons,12,BOTTLE,
19532113,,"JOSE CUERVO Gold 700ML",82000491651,,ml,700,70.99,GST,56.0300,GST,0,1,"ALM,beverages,spirits","Package SPIRITS",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
20186600,,"JIM BEAM Devils Cut nip",,,ml,30,13,GST,2.2360,GST,0,1,"ALM,beverages,shot,spirits","Spirits - Shots",1,,1,,beverages,,1,,2,Individual,1,UNIT,
